day,symbol,volume,total_volume_daily
2026-03-06,ISRGon,77424.44894,74490818.42578293
2026-03-06,IRENon,209968.38833330516,74490818.42578293
2026-03-06,INTCon,205780.374480077,74490818.42578293
2026-03-06,IJHon,70030.57901527791,74490818.42578293
2026-03-06,IEMGon,78877.07327544874,74490818.42578293
2026-03-06,IEFAon,144742.81010506276,74490818.42578293
2026-03-06,IBMon,77563.66449849357,74490818.42578293
2026-03-06,IAUon,182778.5715825944,74490818.42578293
2026-03-06,HIMSon,136855.8503979639,74490818.42578293
2026-03-06,GSon,104574.08698978482,74490818.42578293
2026-03-06,GMEon,76966.50616893481,74490818.42578293
2026-03-06,GLDon,128835.8721117288,74490818.42578293
2026-03-06,GEon,89315.28727384534,74490818.42578293
2026-03-06,Fon,70966.7301,74490818.42578293
2026-03-06,FUTUon,106570.81486200908,74490818.42578293
2026-03-06,FIGon,172819.5800411018,74490818.42578293
2026-03-06,Con,80222.30458460435,74490818.42578293
2026-03-06,CVNAon,157989.82319999998,74490818.42578293
2026-03-06,CRWDon,143033.70415743245,74490818.42578293
2026-03-06,CRMon,90173.0633077025,74490818.42578293
2026-03-06,COSTon,109225.40915506783,74490818.42578293
2026-03-06,SPYon,546710.6312628267,74490818.42578293
